KOI Name,NExScI Disposition,Kepler Name,Period,Transit Depth,Teq,KOI count,Planet Radius,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass
K00889.01,CONFIRMED,Kepler-75 b,8.884922995,16053.4,770.0,1,10.51,5332.0,4.5,-0.08,0.843,0.821
K01009.01,FALSE POSITIVE,,5.09246539,254.0,844.0,1,1.17,5037.0,4.547,-0.2,0.7509999999999999,0.727
K07621.01,FALSE POSITIVE,,275.07365,228.9,303.0,1,1.86,5604.0,4.226,-0.12,1.187,0.8640000000000001
K06252.01,FALSE POSITIVE,,8.460438928,76412.9,804.0,1,36.62,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999
K00958.01,CANDIDATE,,21.76129812,1300.7,486.0,1,2.53,4859.0,4.612,0.0,0.72,0.7809999999999999
K00984.01,CANDIDATE,,4.28746668,790.1,942.0,1,2.29,5296.0,4.5760000000000005,0.12,0.815,0.9109999999999999
K04162.01,FALSE POSITIVE,,0.53936593,145.0,5016.0,1,9.19,6341.0,3.301,-0.1,5.3020000000000005,2.05
K07622.01,FALSE POSITIVE,,36.2671673,627.1,347.0,1,1.5,4264.0,4.637,-0.2,0.62,0.607
K00994.01,CANDIDATE,,4.298920099999999,237.6,1046.0,1,2.12,5300.0,4.385,0.18,0.986,0.861
K00998.01,FALSE POSITIVE,,161.78832712,87750.0,375.0,1,36.14,6018.0,4.327,0.18,1.212,1.1420000000000001
K00992.01,CONFIRMED,Kepler-745 b,9.93146307,398.6,931.0,2,2.41,5782.0,4.28,0.16,1.22,1.035
K00992.02,CANDIDATE,,4.57834367,140.7,1206.0,2,1.44,5782.0,4.28,0.16,1.22,1.035
K00982.01,FALSE POSITIVE,,1.5926331809999998,633.1,1053.0,1,1.56,4506.0,4.626,-0.2,0.6509999999999999,0.654
K03924.01,FALSE POSITIVE,,1.5926341609999999,155156.0,2255.0,1,100.2,6574.0,4.061,-0.22,1.768,1.317
K07623.01,FALSE POSITIVE,,2.2227289,279.1,4454.0,1,34.14,4996.0,2.354,0.07,20.848000000000003,3.5839999999999996
K00362.01,FALSE POSITIVE,,14.022451457,20082.9,810.0,1,14.93,6061.0,4.401,-0.14,1.05,1.012
K04924.01,FALSE POSITIVE,,3.0031801,374.7,1827.0,1,4.7,6606.0,4.071000000000001,-0.16,1.768,1.349
K03658.01,FALSE POSITIVE,,2.252417903,32296.0,782.0,1,27.09,3979.0,4.699,-0.26,0.544,0.539
