Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,TCE Planet Number,KOI Name
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,8.884922995,169.99168600000004,2455002.992,0.069,2.07004,16053.4,0.114,11.62061,10.51,0.079,89.89,770.0,83.20999999999998,36.466,0.4970000000000001,0.204,0.0,0.0,5332.0,4.5,-0.08,0.843,0.821,61.291,474.021,388.2,1,153,1,K00889.01
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,5.09246539,357.53594,2455190.536,0.161,3.659,254.0,0.014,0.8851,1.17,0.052000000000000005,89.14,844.0,119.7,10.67,0.551,0.165,0.0,0.0,5037.0,4.547,-0.2,0.7509999999999999,0.727,3.648,15.175,17.1,1,225,1,K01009.01
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,275.07365,315.2486,2455148.249,0.595,3.37,228.9,0.014,33.559940000000005,1.86,0.789,89.93,303.0,2.0,512.0,0.4370000000000001,0.243,0.0,0.0,5604.0,4.226,-0.12,1.187,0.8640000000000001,5.909,8.012,7.5,1,4,1,K07621.01
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,8.460438928,133.7744903,2454966.774,1.061,4.73492,76412.9,0.478,0.73874,36.62,0.075,85.68,804.0,98.6,14.087,0.299,0.306,0.0,0.0,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999,452.526,3704.503,1797.4,1,164,1,K06252.01
-41.32081985473633,16.88882064819336,-0.025521498173475266,2.0483694076538086,1.2391250133514404,-7.644903182983398,89.14902688662545,-0.5389699935913086,0.0,1.9230386593601287e-07,29.104820251464844,0.6202600002288818,5.932857990264893,0.0,0.53936593,131.97457,2454964.975,0.988,5.434,145.0,0.016,0.06737,9.19,0.017,12.57,5016.0,149399.93,1.012,0.314,0.304,0.0,0.0,6341.0,3.301,-0.1,5.3020000000000005,2.05,4.847,9.076,57.6,1,1239,1,
-41.32081985473633,16.88882064819336,-0.025521498173475266,2.0483694076538086,1.2391250133514404,-7.644903182983398,89.14902688662545,-0.5389699935913086,0.0,1.9230386593601287e-07,29.104820251464844,0.6202600002288818,5.932857990264893,0.0,36.2671673,155.0813,2454988.081,0.214,2.065,627.1,0.022,34.69388,1.5,0.182,89.91,347.0,3.44,134.1,0.644,0.101,0.0,0.0,4264.0,4.637,-0.2,0.62,0.607,3.016,7.472,10.0,1,39,1,
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,161.78832712,214.039,2455047.039,0.267,5.31,87750.0,0.273,17.58377,36.14,0.607,89.95,375.0,4.68,289.8,0.373,0.28300000000000003,0.0,0.0,6018.0,4.327,0.18,1.212,1.142,341.666,806.993,704.5,1,9,1,K04162.01
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,1.5926331809999998,133.9243804,2454966.924,0.003,5.5605,633.1,0.022,0.09265,1.56,0.023,89.93,1053.0,290.51,2.316,0.6659999999999999,0.077,0.0,0.0,4506.0,4.626,-0.2,0.6509999999999999,0.654,4.184,25.793000000000006,66.9,1,846,1,K07622.01
-41.32081985473633,16.88882064819336,-0.025521498173475266,2.0483694076538086,1.2391250133514404,-7.644903182983398,89.14902688662545,-0.5389699935913086,0.0,1.9230386593601287e-07,29.104820251464844,0.6202600002288818,5.932857990264893,0.0,1.592634161,132.328769,2454965.329,0.877,8.9488,155156.0,0.519,0.06389,100.2,0.029,64.63,2255.0,6128.09,2.046,0.293,0.31,0.0,0.0,6574.0,4.061,-0.22,1.768,1.317,532.246,3630.369,1207.6,1,389,1,
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,2.2227289,131.895,2454964.895,0.254,2.617,279.1,0.015,1.00737,34.14,0.051,87.73,4454.0,93172.12,6.41,0.547,0.17800000000000002,0.0,0.0,4996.0,2.354,0.07,20.848000000000006,3.584,4.73,13.497,10.5,1,208,1,K00998.01
